Game,Price,Paid,Savings,Compatibility,
Accounting+,€11.99,€4.79,€7.20,,
Apex Construct,€19.99,€14.99,€5.00,,
Arizona Sunshine,€44.99,€11.24,€33.75,,
BoxVR,€29.99,€17.99,€12.00,,
Carnival Games VR,€19.99,€4.99,€15.00,,
Catch & Release,€19.99,€19.99,€0.00,,
CoolpaintrVR,€19.99,€6.99,€13.00,,
Creed: Rise To Glory,€24.99,€11.99,€13.00,,
Discovery,€11.99,€4.99,€7.00,,
DOOM VFR,€29.99,€0.00,€29.99,,
Floor Plan,€5.99,€0.00,€5.99,,
Fruit Ninja VR,€16.99,€16.99,€0.00,,
Gun Club VR,€24.99,€12.49,€12.50,,
Headmaster,€28.98,€14.98,€14.00,,
I Expect You To Die,€24.99,€12.49,€12.50,,
I Expect You to Die 2,€24.99,€0.00,€24.99,,
Knockout League,€19.99,€14.99,€5.00,,
Lethal VR,€19.99,€7.99,€12.00,,
Marvel's Iron Man VR,€39.99,€0.00,€39.99,,
Mervils: A VR Adventure,€15.99,€4.99,€11.00,,
Moss,€29.99,€17.99,€12.00,,
Rick & Morty: Virtual Rick-ality,€29.99,€29.99,€0.00,,
Sam and Max: This Time It's Virtual,€19.99,€13.99,€6.00,,
Shooty Fruity,€19.99,€11.99,€8.00,,
Star Trek: Bridge Crew VR,€24.99,€19.99,€5.00,,
The American Dream,€19.99,€7.99,€12.00,,
The Playroom VR,€0.00,€0.00,€0.00,,
The Walking Dead: Saints and Sinners,€39.99,€0.00,€39.99,,
Tiny Trax,€15.99,€15.99,€0.00,,
Traffic Jams,€19.99,€12.99,€7.00,,
Tumble VR,€9.99,€3.99,€6.00,,
VR Karts,€24.99,€9.99,€15.00,,
Wanderer,€39.99,€19.99,€20.00,,
You Are Being Followed,€0.00,€0.00,€0.00,,
Animal Force,€14.99,€4.99,€10.00,,
Apocalypse Rider,€5.99,€5.99,€0.00,,
ASTRO BOT Rescue Mission,€39.99,€0.00,€39.99,,
Batman: Arkham VR,€19.99,€9.99,€10.00,,
Beat Saber,€29.99,€29.99,€0.00,,
Dream Match Tennis VR,€14.99,€14.99,€0.00,,
DriveClub VR,€19.99,€19.99,€0.00,,
Drunkn Bar Fight,€17.99,€7.99,€10.00,,
Eagle Flight,€39.99,€12.99,€27.00,,
EVE: Valkyrie,€29.99,€10.99,€19.00,,
Everest VR,€9.99,€3.99,€6.00,,
Everybody’s Golf VR,€29.99,€14.99,€15.00,,
Groundhog Day: Like Father Like Son,€19.99,€19.99,€0.00,,
Homestar VR,€16.99,€7.99,€9.00,,
Hotel R'n'R,€18.99,€11.39,€7.60,,
Hustle Kings VR,€19.99,€9.99,€10.00,,
Job Simulator VR,€19.99,€19.99,€0.00,,
Kingdom Hearts: VR Experience,€0.00,€0.00,€0.00,,
Kona VR,€19.99,€3.99,€16.00,,
"Penn & Teller VR: F U U U & U",€19.99,€19.99,€0.00,,
Perfect VR,€9.99,€3.99,€6.00,,
PlayStation VR Worlds,€29.99,€0.00,€29.99,,
Psychonauts In The Rhombus Of Ruin VR,€18.99,€6.49,€12.50,,
Rez Infinite VR,€29.99,€14.99,€15.00,,
RIGS: Mechanized Combat League VR,€19.99,€9.99,€10.00,,
Skyrim VR,€69.99,€0.00,€69.99,,
Sniper Elite VR,€29.99,€13.49,€16.50,,
Space Pirate Trainer VR,€14.49,€11.59,€2.90,,
Sprint Vector,€24.99,€7.99,€17.00,,
Superhot VR,€24.99,€14.99,€10.00,,
Tetris Effect: Connected,€39.99,€39.99,€0.00,,
The Guy VR,€9.99,€6.99,€3.00,,
The Persistence,€29.99,€0.00,€29.99,,
Track Lab,€19.99,€8.99,€11.00,,
Trackmania Turbo,€29.99,€11.99,€18.00,,
Ultrawings,€21.99,€6.99,€15.00,,
Until Dawn: Rush Of Blood VR,€19.99,€9.99,€10.00,,
Until You Fall,€24.99,€0.00,€24.99,,
VR Ping Pong,€14.99,€2.99,€12.00,,
VR The Diner Duo,€14.99,€5.99,€9.00,,
Alice: Madness Returns,€19.99,€19.99,€0.00,,
Angry Birds Trilogy,€29.99,€29.99,€0.00,,
Army of Two,€2.00,€2.00,€0.00,,
Battlefield 3,€19.99,€0.00,€19.99,,
Bayonetta,€14.99,€4.00,€10.99,,
Beat Hazard Ultra,€6.99,€6.99,€0.00,,
Bentley's Hackpack,€1.99,€1.99,€0.00,,
Beyond Good and Evil HD,€9.99,€9.99,€0.00,,
Blur,€18.00,€18.00,€0.00,,
Brink,€0.50,€0.50,€0.00,,
Buzz Quiz World,€42.00,€42.00,€0.00,,
Call of Duty: Modern Warfare 2,€29.99,€4.00,€25.99,,
Daytona USA,€7.99,€7.99,€0.00,,
Dead Rising 2,€14.99,€3.50,€11.49,,
Dead Space,€12.99,€4.00,€8.99,,
Deus Ex: Human Revolution,€12.99,€6.00,€6.99,,
Dishonored,€9.99,€3.00,€6.99,,
DJ Hero,€2.50,€2.50,€0.00,,
DJ Hero 2,€2.50,€2.50,€0.00,,
Duke Nukem Forever,€12.99,€3.50,€9.49,,
Earthworm Jim HD,€9.99,€9.99,€0.00,,
Family Guy: Back to the Multiverse,€8.00,€8.00,€0.00,,
Far Cry Classic,€9.99,€9.99,€0.00,,
Far Cry 2,€9.99,€2.00,€7.99,,
FEAR,€12.00,€12.00,€0.00,,
FIFA Street,€4.00,€4.00,€0.00,,
Fight Night Champion,€19.99,€15.00,€4.99,,
Final Exam,€9.99,€9.99,€0.00,,
Final Fantasy XIII,€4.00,€4.00,€0.00,,
Girl Fight,€0.00,€0.00,€0.00,,
God of War,€12.99,€4.99,€8.00,VITA,
God of War II,€12.00,€3.00,€9.00,VITA,
Gran Turismo 5,€5.00,€5.00,€0.00,,
Grand Theft Auto IV: The Complete Collection,€49.97,€22.00,€27.97,,
Hitman: Absolution,€14.99,€5.00,€9.99,,
ICO Classics HD,€10.00,€10.00,€0.00,,
Jet Car Stunts,€6.99,€6.99,€0.00,VITA,
Kane and Lynch: Dead Men,€9.99,€2.00,€7.99,,
Kane and Lynch 2: Dog Days,€9.99,€2.00,€7.99,,
Killer is Dead,€19.99,€18.00,€1.99,,
Killzone,€12.99,€12.99,€0.00,,
LA Noire,€29.99,€29.99,€0.00,,
Lemmings,€12.98,€12.98,€0.00,,
LittleBigPlanet,€10.50,€10.50,€0.00,VITA,
LittleBigPlanet 2,€29.98,€19.49,€10.49,,
LittleBigPlanet Karting,€14.99,€14.99,€0.00,,
Lollipop Chainsaw,€12.00,€12.00,€0.00,,
Lone Survivor: The Director's Cut,€9.99,€9.99,€0.00,VITA,
Mafia II,€29.99,€10.00,€19.99,,
Malicious,€7.99,€7.99,€0.00,,
Mass Effect 3,€19.99,€19.99,€0.00,,
Mensa Academy,€9.99,€9.99,€0.00,,
Metal Gear Solid 2: Sons of Liberty,€23.99,€23.99,€0.00,VITA,
Metal Gear Solid 3: Snake Eater,€22.99,€22.99,€0.00,VITA,
Metal Gear Solid: Peace Walker,€8.00,€8.00,€0.00,,
Metal Gear Solid 4: Guns of the Patriots,€14.99,€14.99,€0.00,,
Modnation Racers,€6.00,€6.00,€0.00,,
Mortal Kombat,€19.99,€19.99,€0.00,,
Mortal Kombat Arcade Kollection,€9.99,€9.99,€0.00,,
Motorstorm: Apocalypse,€14.99,€14.99,€0.00,,
Motorstorm: Pacific Rift,€5.00,€5.00,€0.00,,
Motorstorm RC,€8.99,€3.99,€5.00,VITA,
Naughty Bear,€5.00,€5.00,€0.00,,
Need for Speed: Most Wanted,€14.99,€0.00,€14.99,,
Need for Speed: Shift,€4.00,€4.00,€0.00,,
Need for Speed: The Run,€19.99,€4.00,€15.99,,
Oddworld: Munch's Oddysee,€8.99,€8.99,€0.00,VITA,
Oddworld: Stranger's Wrath,€12.99,€12.99,€0.00,VITA,
PAYDAY: The Heist,€12.99,€12.99,€0.00,,
PlayStation All Stars Battle Royale,€14.99,€14.99,€0.00,VITA,
PlayStation Move Heroes,€12.49,€7.50,€4.99,,
Prince of Persia: The Sands of Time,€5.00,€5.00,€0.00,,
Prince of Persia: Warrior Within,€5.00,€5.00,€0.00,,
Prince of Persia: The Two Thrones,€4.99,€4.99,€0.00,,
Pro Evolution Soccer 2010,€0.50,€0.50,€0.00,,
Quantum Conundrum,€10.99,€10.99,€0.00,,
Ratchet & Clank,€8.99,€3.99,€5.00,VITA,
Ratchet & Clank: Tools of Destruction,€14.99,€10.00,€4.99,,
Ratchet & Clank: A Crack in Time,€14.99,€10.00,€4.99,,
Rayman 3 HD,€9.99,€9.99,€0.00,,
Rayman Origins,€29.98,€26.99,€2.99,VITA,
Red Dead Redemption,€44.98,€18.00,€26.98,,
Resistance,€2.00,€2.00,€0.00,VITA,
Shadow of the Colossus Classics HD,€9.99,€9.99,€0.00,,
Silent Hill HD Collection,€22.00,€22.00,€0.00,,
Siren Blood Curse,€12.99,€12.99,€0.00,,
Skate 2,€12.00,€12.00,€0.00,,
Sonic Generations,€14.99,€14.99,€0.00,,
Spec Ops: The Line,€19.99,€19.99,€0.00,,
Superfrog HD,€9.99,€9.99,€0.00,VITA,
Super Rub a Dub,€4.99,€4.99,€0.00,,
Syndicate,€1.00,€1.00,€0.00,,
Tales of Grace f,€15.00,€15.00,€0.00,,
Tales of Xillia,€14.99,€14.99,€0.00,,
Tekken Revolution,€0.00,€0.00,€0.00,,
The Amazing Spider-Man,€15.00,€15.00,€0.00,,
The Baconing,€12.99,€12.99,€0.00,,
The Cave,€0.00,€0.00,€0.00,,
The Cube,€9.99,€9.99,€0.00,,
The Darkness,€3.00,€3.00,€0.00,,
The Darkness 2,€2.50,€2.50,€0.00,,
The House of the Dead: Overkill,€5.00,€5.00,€0.00,,
The Secret of Monkey Island: Special Edition,€4.99,€4.99,€0.00,,
The Simpsons Arcade Game,€9.99,€9.99,€0.00,,
The Simpsons Game,€28.00,€28.00,€0.00,,
The Sims 3,€18.00,€18.00,€0.00,,
The Sims 3: Pets,€18.00,€18.00,€0.00,,
Tiger Woods PGA Tour 11,€1.00,€1.00,€0.00,,
ToeJam and Earl,€2.75,€2.75,€0.00,,
ToeJam and Earl: Panic on Funkotron,€2.74,€2.74,€0.00,,
Tokyo Jungle,€12.99,€12.99,€0.00,,
Tony Hawk's Pro Skater HD,€9.99,€9.99,€0.00,,
Twisted Metal,€12.99,€5.00,€7.99,,
UFC 2009 Undisputed,€2.00,€2.00,€0.00,,
Velocity Ultra,€7.99,€7.99,€0.00,VITA,
When Vikings Attack,€4.99,€4.99,€0.00,,
XCOM Enemy Unknown,€39.98,€25.98,€14.00,VITA,
Zombie Tycoon II: Brainhov's Revenge,€6.19,€6.19,€0.00,VITA,
Okami HD,€19.99,€13.99,€6.00,PS4,
Bang Bang Racing,€9.99,€9.99,€0.00,,
Crazy Machines Elements,€4.99,€4.99,€0.00,,
F1 Race Stars,€9.99,€9.99,€0.00,,
Fat Princess,€9.99,€9.99,€0.00,,
inFamous,€8.99,€8.99,€0.00,,
inFamous 2,€8.00,€8.00,€0.00,,
inFamous: Festival of Blood,€8.00,€8.00,€0.00,,
Joe Danger 2: The Movie,€12.99,€12.99,€0.00,,
Ratchet & Clank 2,€8.00,€3.00,€5.00,VITA,
Ratchet & Clank 3,€8.00,€3.00,€5.00,VITA,
Ratchet: Gladiator,€14.99,€14.99,€0.00,,
Ratchet & Clank: Nexus,€14.99,€14.99,€0.00,,
Ratchet & Clank: Quest for Booty,€9.99,€9.99,€0.00,,
Sly Cooper and the Thievius Raccoonus,€8.99,€1.99,€7.00,VITA,
Sly 2: Band of Thieves,€8.00,€3.00,€5.00,VITA,
Sly 3: Honour Among Thieves,€8.00,€3.00,€5.00,VITA,
Sonic CD,€0.00,€0.00,€0.00,,
Streets of Rage 2,€4.49,€4.49,€0.00,,
Tekken 5: Dark Resurrection,€19.99,€19.99,€0.00,,
007: Agent Under Fire,€5.00,€5.00,€0.00,,
Deus Ex,€9.99,€9.99,€0.00,,
Dog's Life,€10.00,€10.00,€0.00,,
FIFA Street 2,€3.50,€3.50,€0.00,,
Freedom Fighters,€4.99,€0.00,€4.99,,
Gun,€9.99,€0.00,€9.99,,
Harry Potter & The Chamber of Secrets,€18.00,€18.00,€0.00,,
Need for Speed Underground 2,€18.00,€18.00,€0.00,,
Sonic Heroes,€9.99,€9.99,€0.00,,
Stuntman: Ignition,€9.99,€9.99,€0.00,,
The Lord of the Rings: The Return of the King,€9.99,€0.00,€9.99,,
The Mark of Kri,€3.99,€0.00,€3.99,,
The Sims,€14.99,€14.99,€0.00,,
The Sims 2,€14.99,€14.99,€0.00,,
Urbz: Sims in the City,€3.00,€3.00,€0.00,,
WWE Smackdown vs RAW 2007,€14.99,€0.00,€14.99,,
A Bug's Life,€1.49,€1.49,€0.00,,
Beyblade,€4.99,€0.00,€4.99,,
Bishi Bashi Special,€4.99,€4.99,€0.00,,
Buzz Lightyear of Star Command,€1.99,€1.99,€0.00,,
Cho Aniki,€4.99,€4.99,€0.00,,
Colin McRae Rally,€9.99,€9.99,€0.00,,
Crash Bandicoot,€4.99,€4.99,€0.00,,
Crash Bandicoot 2,€4.99,€4.99,€0.00,,
Crash Bandicoot 3,€4.99,€4.99,€0.00,,
Crash Team Racing,€4.99,€4.99,€0.00,,
Crash Bash,€9.99,€9.99,€0.00,,
Destruction Derby,€4.99,€2.99,€2.00,,
Driver,€2.49,€2.49,€0.00,,
Fear Effect,€6.99,€6.99,€0.00,,
Fear Effect 2: Retro Helix,€6.99,€6.99,€0.00,,
Final Fantasy V,€9.99,€4.99,€5.00,,
Final Fantasy VI,€9.99,€4.99,€5.00,,
Final Fantasy VII,€9.99,€4.99,€5.00,,
Final Fantasy VIII,€9.99,€4.99,€5.00,,
Final Fantasy IX,€9.99,€4.99,€5.00,,
Gex,€4.99,€2.50,€2.49,,
Gex 3D: Enter the Gecko,€5.99,€3.00,€2.99,,
Gex: Deep Cover Gecko,€5.99,€3.00,€2.99,,
Hercules,€1.99,€1.99,€0.00,,
Hogs of War,€9.99,€9.99,€0.00,,
Jumping Flash,€4.99,€4.99,€0.00,,
Klonoa: Door to Phantomile,€4.99,€2.50,€2.49,,
Kula World,€4.99,€4.99,€0.00,,
Medievil,€4.99,€4.99,€0.00,,
Metal Gear Solid,€9.99,€4.99,€5.00,,
Monsters Inc Scare Island,€1.49,€1.49,€0.00,,
Motor Toon Grand Prix 2,€4.99,€2.49,€2.50,,
Oddworld: Abe's Exoddus,€4.99,€4.99,€0.00,,
Oddworld: Abe's Oddysee,€4.99,€4.99,€0.00,,
PONG,€4.99,€4.99,€0.00,,
Rally Cross,€4.99,€1.99,€3.00,,
Rayman,€4.99,€4.99,€0.00,,
Rayman 2,€4.99,€4.99,€0.00,,
Resident Evil: Director's Cut,€9.99,€3.99,€6.00,,
Resident Evil 2,€9.99,€3.99,€6.00,,
Resident Evil 3: Nemesis,€9.99,€3.99,€6.00,,
"Sheep Dog n Wolf",€9.99,€9.99,€0.00,,
Silent Hill,€6.99,€2.99,€4.00,,
Spyro the Dragon,€3.99,€3.99,€0.00,,
Spyro 2: Gateway to Glimmer,€3.00,€3.00,€0.00,,
Spyro 3: Year of the Dragon,€3.00,€3.00,€0.00,,
Suikoden,€4.99,€4.99,€0.00,,
Suikoden II,€4.99,€4.99,€0.00,,
Syphon Filter,€4.99,€2.49,€2.50,,
Tekken,€4.99,€4.99,€0.00,,
Tekken 2,€4.99,€4.99,€0.00,,
Theme Hospital,€4.99,€4.99,€0.00,,
Tomb Raider,€5.99,€1.99,€4.00,,
Tomb Raider II,€5.99,€1.99,€4.00,,
Tomb Raider III,€5.99,€1.99,€4.00,,
Tomb Raider: The Last Revelation,€5.99,€1.99,€4.00,,
Tomb Raider: Chronicles,€5.99,€1.99,€4.00,,
Tomba,€7.99,€4.99,€3.00,,
Tomba 2: The Evil Swine Return,€7.99,€7.99,€0.00,,
Toy Story 2,€1.99,€1.99,€0.00,,
Toy Story Racer,€1.99,€1.99,€0.00,,
Twisted Metal,€4.99,€1.99,€3.00,,
UmJammer Lammy,€4.99,€4.99,€0.00,,
Vib-Ribbon,€4.99,€1.99,€3.00,,
Wipeout,€9.99,€1.99,€8.00,,
WWF Smackdown 2: Know Your Role,€9.99,€9.99,€0.00,,
Table Top Racing,€2.99,€2.99,€0.00,,
Wanderjahr,€9.99,€9.99,€0.00,,
Zero Escape: Virtue's Last Reward,€19.99,€19.99,€0.00,,
Crazy Market,€0.00,€0.00,€0.00,,
Deathmatch Village,€0.00,€0.00,€0.00,,
Flame Over,€9.99,€9.99,€0.00,,
Get Off My Lawn!,€0.00,€0.00,€0.00,,
Fat Princess: Piece of Cake,€0.00,€0.00,€0.00,,
Football Manager Classic 2014,€39.99,€39.99,€0.00,,
Gunslugs,€2.49,€2.49,€0.00,,
Jet Set Radio,€7.99,€7.99,€0.00,,
LEGO Batman 2: DC Super Heroes,€19.99,€0.00,€19.99,,
ModNation Racers: Road Trip,€14.99,€14.99,€0.00,,
No Heroes Allowed: No Puzzles Either!,€0.00,€0.00,€0.00,,
Paint Park,€0.00,€0.00,€0.00,,
Paint Park Plus,€0.00,€0.00,€0.00,,
PlayStation Vita Pets,€24.99,€9.99,€15.00,,
Quell Memento,€3.59,€3.59,€0.00,,
Ratchet & Clank: QForce,€14.99,€4.99,€10.00,,
Rocketbirds: Hardboiled Chicken,€7.99,€7.99,€0.00,,
Silent Hill: Book of Memories,€14.99,€6.99,€8.00,,
Skeleton Rider,€3.99,€3.99,€0.00,,
Sly Cooper: Thieves in Time,€14.99,€4.99,€10.00,,
Spy Hunter,€19.99,€19.99,€0.00,,
Street Fighter X Tekken,€24.99,€4.99,€20.00,,
SunFlowers,€2.99,€2.99,€0.00,,
Surge Deluxe,€4.99,€4.99,€0.00,,
Table Football,€0.00,€0.00,€0.00,,
TxK,€6.99,€6.99,€0.00,,
Uncharted: Golden Abyss,€24.99,€6.99,€18.00,,
Uncharted: Fight for Fortune,€4.99,€4.99,€0.00,,
Worms Revolution Extreme,€14.99,€0.00,€14.99,,
Yomawari: Night Alone,€19.99,€9.99,€10.00,,
Ape Escape,€7.99,€7.99,€0.00,,
Burnout Legends,€9.99,€9.99,€0.00,,
Crazy Taxi: Fare Wars,€4.49,€4.49,€0.00,,
Daxter,€7.99,€2.99,€5.00,,
Dead or Alive Paradise,€14.99,€14.99,€0.00,,
Everybody's Golf 2,€7.99,€2.99,€5.00,,
Final Fantasy,€9.99,€4.99,€5.00,,
Final Fantasy II,€9.99,€4.99,€5.00,,
Final Fantasy III,€9.99,€4.99,€5.00,,
Final Fantasy IV,€14.99,€7.49,€7.50,,
Grand Theft Auto: Chinatown Wars,€11.66,€5.00,€6.66,,
Grand Theft Auto: Vice City Stories,€11.66,€5.00,€6.66,,
Grand Theft Auto: Liberty City Stories,€11.66,€4.99,€6.67,,
Gravity Crash,€3.99,€3.99,€0.00,,
Jak and Daxter: The Lost Frontier,€7.99,€3.99,€4.00,,
LEGO Batman,€9.99,€0.00,€9.99,,
LEGO Indiana Jones,€9.99,€0.00,€9.99,,
LEGO Pirates of the Caribbean,€4.99,€0.00,€4.99,,
LEGO Star Wars III: The Clone Wars,€4.99,€0.00,€4.99,,
Prinny,€9.99,€9.99,€0.00,,
Ratchet & Clank: Size Matters,€7.99,€4.00,€3.99,,
Resistance: Retribution,€7.99,€2.99,€5.00,,
Super Monkey Ball Adventure,€4.49,€4.49,€0.00,,
Tomb Raider: Anniversary,€9.99,€3.99,€6.00,,
Tomb Raider: Legend,€9.99,€3.99,€6.00,,
Wipeout Pulse,€7.99,€7.99,€0.00,,
